secs, cad, hr, km, kph, nm, watts, alt, lon, lat, headwind, slope, temp, interval, lrbalance, lte, rte, lps, rps, smo2, thb, o2hb, hhb
187,92,0,0.60781,33.8436,0,104,42.4,144.414,-37.8824,0,4.44089e-16,25,0,46,0,0,0,0,0,0,0,0
188,93,0,0.6185,34.3116,0,112,42.4,144.414,-37.8823,0,4.44089e-16,25,0,46,0,0,0,0,0,0,0,0
189,93,0,0.62878,34.8912,0,126,42.4,144.414,-37.8822,0,4.44089e-16,25,0,47,0,0,0,0,0,0,0,0
190,93,0,0.63839,34.3764,0,141,42.4,144.414,-37.8821,0,4.44089e-16,25,0,46,0,0,0,0,0,0,0,0
191,93,0,0.64792,34.0344,0,139,42.4,144.414,-37.882,0,4.44089e-16,25,0,48,0,0,0,0,0,0,0,0
192,94,0,0.65681,33.6348,0,143,42.4,144.414,-37.8819,0,4.44089e-16,25,0,46,0,0,0,0,0,0,0,0
193,95,0,0.66738,34.7112,0,151,42.4,144.414,-37.8818,0,4.44089e-16,25,0,45,0,0,0,0,0,0,0,0
194,95,0,0.67723,34.7796,0,139,42.4,144.414,-37.8818,0,4.44089e-16,25,0,46,0,0,0,0,0,0,0,0
195,95,0,0.6876,34.9164,0,139,42.4,144.414,-37.8817,0,4.44089e-16,25,0,46,0,0,0,0,0,0,0,0
196,97,0,0.69804,35.6544,0,111,42.4,144.414,-37.8816,0,4.44089e-16,25,0,45,0,0,0,0,0,0,0,0
197,98,0,0.70807,35.7624,0,120,42.4,144.414,-37.8815,0,4.44089e-16,25,0,48,0,0,0,0,0,0,0,0
198,98,0,0.71821,35.7948,0,132,42.4,144.414,-37.8814,0,4.44089e-16,25,0,48,0,0,0,0,0,0,0,0
199,98,0,0.72719,35.3772,0,144,42.4,144.414,-37.8813,0,4.44089e-16,25,0,47,0,0,0,0,0,0,0,0
200,98,0,0.73722,35.7552,0,144,42.4,144.414,-37.8812,0,4.44089e-16,25,0,47,0,0,0,0,0,0,0,0
201,98,0,0.74661,35.838,0,140,42.4,144.414,-37.8811,0,4.44089e-16,25,0,45,0,0,0,0,0,0,0,0
202,99,0,0.75627,36.1296,0,143,42.4,144.414,-37.881,0,4.44089e-16,25,0,46,0,0,0,0,0,0,0,0
203,99,0,0.76657,36.5112,0,135,42.4,144.414,-37.8809,0,4.44089e-16,25,0,45,0,0,0,0,0,0,0,0
204,99,0,0.7776,36.6084,0,125,42.4,144.414,-37.8808,0,4.44089e-16,25,0,45,0,0,0,0,0,0,0,0
205,100,0,0.78876,36.9252,0,125,42.4,144.414,-37.8807,0,4.44089e-16,25,0,45,0,0,0,0,0,0,0,0
206,99,0,0.79918,37.0584,0,105,42.4,144.414,-37.8807,0,4.44089e-16,25,0,46,0,0,0,0,0,0,0,0
207,100,0,0.80944,37.1016,0,100,42.4,144.414,-37.8806,0,4.44089e-16,25,0,44,0,0,0,0,0,0,0,0
208,101,0,0.819,36.9936,0,100,42.4,144.414,-37.8805,0,4.44089e-16,25,0,44,0,0,0,0,0,0,0,0
209,100,0,0.82899,36.4248,0,125,42.4,144.414,-37.8804,0,4.44089e-16,25,0,44,0,0,0,0,0,0,0,0
210,100,0,0.83902,36.3852,0,138,42.4,144.414,-37.8803,0,4.44089e-16,25,0,46,0,0,0,0,0,0,0,0
